image,caption
unsloth/data/apple/1f923.png,"Apple Emoji: 1F923 (rolling_on_the_floor_laughing). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f923.png,"Google Emoji: 1F923 (rolling_on_the_floor_laughing). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f602.png,"Apple Emoji: 1F602 (joy). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f602.png,"Google Emoji: 1F602 (joy). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f642.png,"Apple Emoji: 1F642 (slightly_smiling_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f642.png,"Google Emoji: 1F642 (slightly_smiling_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f643.png,"Apple Emoji: 1F643 (upside_down_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f643.png,"Google Emoji: 1F643 (upside_down_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae0.png,"Apple Emoji: 1FAE0 (melting_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae0.png,"Google Emoji: 1FAE0 (melting_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f609.png,"Apple Emoji: 1F609 (wink). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f609.png,"Google Emoji: 1F609 (wink). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60a.png,"Apple Emoji: 1F60A (blush). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60a.png,"Google Emoji: 1F60A (blush). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f607.png,"Apple Emoji: 1F607 (innocent). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f607.png,"Google Emoji: 1F607 (innocent). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f970.png,"Apple Emoji: 1F970 (smiling_face_with_3_hearts). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f970.png,"Google Emoji: 1F970 (smiling_face_with_3_hearts). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60d.png,"Apple Emoji: 1F60D (heart_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60d.png,"Google Emoji: 1F60D (heart_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f929.png,"Apple Emoji: 1F929 (star-struck). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f929.png,"Google Emoji: 1F929 (star-struck). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f618.png,"Apple Emoji: 1F618 (kissing_heart). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f618.png,"Google Emoji: 1F618 (kissing_heart). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f617.png,"Apple Emoji: 1F617 (kissing). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f617.png,"Google Emoji: 1F617 (kissing). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/263a-fe0f.png,"Apple Emoji: 263A-FE0F (relaxed). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/263a-fe0f.png,"Google Emoji: 263A-FE0F (relaxed). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f61a.png,"Apple Emoji: 1F61A (kissing_closed_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f61a.png,"Google Emoji: 1F61A (kissing_closed_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f619.png,"Apple Emoji: 1F619 (kissing_smiling_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f619.png,"Google Emoji: 1F619 (kissing_smiling_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f972.png,"Apple Emoji: 1F972 (smiling_face_with_tear). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f972.png,"Google Emoji: 1F972 (smiling_face_with_tear). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60b.png,"Apple Emoji: 1F60B (yum). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60b.png,"Google Emoji: 1F60B (yum). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f61b.png,"Apple Emoji: 1F61B (stuck_out_tongue). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f61b.png,"Google Emoji: 1F61B (stuck_out_tongue). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f61c.png,"Apple Emoji: 1F61C (stuck_out_tongue_winking_eye). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f61c.png,"Google Emoji: 1F61C (stuck_out_tongue_winking_eye). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f92a.png,"Apple Emoji: 1F92A (zany_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f92a.png,"Google Emoji: 1F92A (zany_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f61d.png,"Apple Emoji: 1F61D (stuck_out_tongue_closed_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f61d.png,"Google Emoji: 1F61D (stuck_out_tongue_closed_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f911.png,"Apple Emoji: 1F911 (money_mouth_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f911.png,"Google Emoji: 1F911 (money_mouth_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f917.png,"Apple Emoji: 1F917 (hugging_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f917.png,"Google Emoji: 1F917 (hugging_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f92d.png,"Apple Emoji: 1F92D (face_with_hand_over_mouth). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f92d.png,"Google Emoji: 1F92D (face_with_hand_over_mouth). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae2.png,"Apple Emoji: 1FAE2 (face_with_open_eyes_and_hand_over_mouth). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae2.png,"Google Emoji: 1FAE2 (face_with_open_eyes_and_hand_over_mouth). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae3.png,"Apple Emoji: 1FAE3 (face_with_peeking_eye). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae3.png,"Google Emoji: 1FAE3 (face_with_peeking_eye). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f92b.png,"Apple Emoji: 1F92B (shushing_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f92b.png,"Google Emoji: 1F92B (shushing_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f914.png,"Apple Emoji: 1F914 (thinking_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f914.png,"Google Emoji: 1F914 (thinking_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae1.png,"Apple Emoji: 1FAE1 (saluting_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae1.png,"Google Emoji: 1FAE1 (saluting_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f910.png,"Apple Emoji: 1F910 (zipper_mouth_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f910.png,"Google Emoji: 1F910 (zipper_mouth_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f928.png,"Apple Emoji: 1F928 (face_with_raised_eyebrow). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f928.png,"Google Emoji: 1F928 (face_with_raised_eyebrow). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f610.png,"Apple Emoji: 1F610 (neutral_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f610.png,"Google Emoji: 1F610 (neutral_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f611.png,"Apple Emoji: 1F611 (expressionless). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f611.png,"Google Emoji: 1F611 (expressionless). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f636.png,"Apple Emoji: 1F636 (no_mouth). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f636.png,"Google Emoji: 1F636 (no_mouth). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae5.png,"Apple Emoji: 1FAE5 (dotted_line_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae5.png,"Google Emoji: 1FAE5 (dotted_line_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f636-200d-1f32b-fe0f.png,"Apple Emoji: 1F636-200D-1F32B-FE0F (face_in_clouds). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f636-200d-1f32b-fe0f.png,"Google Emoji: 1F636-200D-1F32B-FE0F (face_in_clouds). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60f.png,"Apple Emoji: 1F60F (smirk). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60f.png,"Google Emoji: 1F60F (smirk). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f612.png,"Apple Emoji: 1F612 (unamused). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f612.png,"Google Emoji: 1F612 (unamused). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f644.png,"Apple Emoji: 1F644 (face_with_rolling_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f644.png,"Google Emoji: 1F644 (face_with_rolling_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f62c.png,"Apple Emoji: 1F62C (grimacing). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f62c.png,"Google Emoji: 1F62C (grimacing). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f62e-200d-1f4a8.png,"Apple Emoji: 1F62E-200D-1F4A8 (face_exhaling). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f62e-200d-1f4a8.png,"Google Emoji: 1F62E-200D-1F4A8 (face_exhaling). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f925.png,"Apple Emoji: 1F925 (lying_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f925.png,"Google Emoji: 1F925 (lying_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae8.png,"Apple Emoji: 1FAE8 (shaking_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae8.png,"Google Emoji: 1FAE8 (shaking_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f642-200d-2194-fe0f.png,"Apple Emoji: 1F642-200D-2194-FE0F (head_shaking_horizontally). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f642-200d-2194-fe0f.png,"Google Emoji: 1F642-200D-2194-FE0F (head_shaking_horizontally). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f642-200d-2195-fe0f.png,"Apple Emoji: 1F642-200D-2195-FE0F (head_shaking_vertically). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f642-200d-2195-fe0f.png,"Google Emoji: 1F642-200D-2195-FE0F (head_shaking_vertically). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60c.png,"Apple Emoji: 1F60C (relieved). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60c.png,"Google Emoji: 1F60C (relieved). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f614.png,"Apple Emoji: 1F614 (pensive). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f614.png,"Google Emoji: 1F614 (pensive). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f62a.png,"Apple Emoji: 1F62A (sleepy). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f62a.png,"Google Emoji: 1F62A (sleepy). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f924.png,"Apple Emoji: 1F924 (drooling_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f924.png,"Google Emoji: 1F924 (drooling_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f634.png,"Apple Emoji: 1F634 (sleeping). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f634.png,"Google Emoji: 1F634 (sleeping). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f637.png,"Apple Emoji: 1F637 (mask). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f637.png,"Google Emoji: 1F637 (mask). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f912.png,"Apple Emoji: 1F912 (face_with_thermometer). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f912.png,"Google Emoji: 1F912 (face_with_thermometer). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f915.png,"Apple Emoji: 1F915 (face_with_head_bandage). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f915.png,"Google Emoji: 1F915 (face_with_head_bandage). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f922.png,"Apple Emoji: 1F922 (nauseated_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f922.png,"Google Emoji: 1F922 (nauseated_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f92e.png,"Apple Emoji: 1F92E (face_vomiting). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f92e.png,"Google Emoji: 1F92E (face_vomiting). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f927.png,"Apple Emoji: 1F927 (sneezing_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f927.png,"Google Emoji: 1F927 (sneezing_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f975.png,"Apple Emoji: 1F975 (hot_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f975.png,"Google Emoji: 1F975 (hot_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f976.png,"Apple Emoji: 1F976 (cold_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f976.png,"Google Emoji: 1F976 (cold_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f974.png,"Apple Emoji: 1F974 (woozy_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f974.png,"Google Emoji: 1F974 (woozy_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f635.png,"Apple Emoji: 1F635 (dizzy_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f635.png,"Google Emoji: 1F635 (dizzy_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f635-200d-1f4ab.png,"Apple Emoji: 1F635-200D-1F4AB (face_with_spiral_eyes). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f635-200d-1f4ab.png,"Google Emoji: 1F635-200D-1F4AB (face_with_spiral_eyes). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f92f.png,"Apple Emoji: 1F92F (exploding_head). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f92f.png,"Google Emoji: 1F92F (exploding_head). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f920.png,"Apple Emoji: 1F920 (face_with_cowboy_hat). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f920.png,"Google Emoji: 1F920 (face_with_cowboy_hat). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f973.png,"Apple Emoji: 1F973 (partying_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f973.png,"Google Emoji: 1F973 (partying_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f978.png,"Apple Emoji: 1F978 (disguised_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f978.png,"Google Emoji: 1F978 (disguised_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f60e.png,"Apple Emoji: 1F60E (sunglasses). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f60e.png,"Google Emoji: 1F60E (sunglasses). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f913.png,"Apple Emoji: 1F913 (nerd_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f913.png,"Google Emoji: 1F913 (nerd_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f9d0.png,"Apple Emoji: 1F9D0 (face_with_monocle). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f9d0.png,"Google Emoji: 1F9D0 (face_with_monocle). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f615.png,"Apple Emoji: 1F615 (confused). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f615.png,"Google Emoji: 1F615 (confused). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1fae4.png,"Apple Emoji: 1FAE4 (face_with_diagonal_mouth). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1fae4.png,"Google Emoji: 1FAE4 (face_with_diagonal_mouth). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f61f.png,"Apple Emoji: 1F61F (worried). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f61f.png,"Google Emoji: 1F61F (worried). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f641.png,"Apple Emoji: 1F641 (slightly_frowning_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f641.png,"Google Emoji: 1F641 (slightly_frowning_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/2639-fe0f.png,"Apple Emoji: 2639-FE0F (white_frowning_face). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/2639-fe0f.png,"Google Emoji: 2639-FE0F (white_frowning_face). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f62e.png,"Apple Emoji: 1F62E (open_mouth). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
unsloth/data/google/1f62e.png,"Google Emoji: 1F62E (open_mouth). Exhibits a flat, cartoonish style with bold outlines and minimal shading, capturing the playful design typical of Android emojis."
unsloth/data/apple/1f62f.png,"Apple Emoji: 1F62F (hushed). Features a glossy, 3D-like design with smooth gradients and detailed shading, reflecting the refined aesthetics of iOS emojis."
