image_path,label
data\apple\1f1f5-1f1eb.png,apple
data\apple\1f1f5-1f1ec.png,apple
data\apple\1f1f5-1f1ed.png,apple
data\apple\1f1f5-1f1f0.png,apple
data\apple\1f1f5-1f1f1.png,apple
data\apple\1f1f5-1f1f2.png,apple
data\apple\1f1f5-1f1f3.png,apple
data\apple\1f1f5-1f1f7.png,apple
data\apple\1f1f5-1f1f8.png,apple
data\apple\1f1f5-1f1f9.png,apple
data\apple\1f1f5-1f1fc.png,apple
data\apple\1f1f5-1f1fe.png,apple
data\apple\1f1f6-1f1e6.png,apple
data\apple\1f1f7-1f1ea.png,apple
data\apple\1f1f7-1f1f4.png,apple
data\apple\1f1f7-1f1f8.png,apple
data\apple\1f1f7-1f1fa.png,apple
data\apple\1f1f7-1f1fc.png,apple
data\apple\1f1f8-1f1e6.png,apple
data\apple\1f1f8-1f1e7.png,apple
data\apple\1f1f8-1f1e8.png,apple
data\apple\1f1f8-1f1e9.png,apple
data\apple\1f1f8-1f1ea.png,apple
data\apple\1f1f8-1f1ec.png,apple
data\apple\1f1f8-1f1ed.png,apple
data\apple\1f1f8-1f1ee.png,apple
data\apple\1f1f8-1f1ef.png,apple
data\apple\1f1f8-1f1f0.png,apple
data\apple\1f1f8-1f1f1.png,apple
data\apple\1f1f8-1f1f2.png,apple
data\apple\1f1f8-1f1f3.png,apple
data\apple\1f1f8-1f1f4.png,apple
data\apple\1f1f8-1f1f7.png,apple
data\apple\1f1f8-1f1f8.png,apple
data\apple\1f1f8-1f1f9.png,apple
data\apple\1f1f8-1f1fb.png,apple
data\apple\1f1f8-1f1fd.png,apple
data\apple\1f1f8-1f1fe.png,apple
data\apple\1f1f8-1f1ff.png,apple
data\apple\1f1f9-1f1e6.png,apple
data\apple\1f1f9-1f1e8.png,apple
data\apple\1f1f9-1f1e9.png,apple
data\apple\1f1f9-1f1eb.png,apple
data\apple\1f1f9-1f1ec.png,apple
data\apple\1f1f9-1f1ed.png,apple
data\apple\1f1f9-1f1ef.png,apple
data\apple\1f1f9-1f1f0.png,apple
data\apple\1f1f9-1f1f1.png,apple
data\apple\1f1f9-1f1f2.png,apple
data\apple\1f1f9-1f1f3.png,apple
data\apple\1f1f9-1f1f4.png,apple
data\apple\1f1f9-1f1f7.png,apple
data\apple\1f1f9-1f1f9.png,apple
data\apple\1f1f9-1f1fb.png,apple
data\apple\1f1f9-1f1fc.png,apple
data\apple\1f1f9-1f1ff.png,apple
data\apple\1f1fa-1f1e6.png,apple
data\apple\1f1fa-1f1ec.png,apple
data\apple\1f1fa-1f1f2.png,apple
data\apple\1f1fa-1f1f3.png,apple
data\apple\1f1fa-1f1f8.png,apple
data\apple\1f1fa-1f1fe.png,apple
data\apple\1f1fa-1f1ff.png,apple
data\apple\1f1fb-1f1e6.png,apple
data\apple\1f1fb-1f1e8.png,apple
data\apple\1f1fb-1f1ea.png,apple
data\apple\1f1fb-1f1ec.png,apple
data\apple\1f1fb-1f1ee.png,apple
data\apple\1f1fb-1f1f3.png,apple
data\apple\1f1fb-1f1fa.png,apple
data\apple\1f1fc-1f1eb.png,apple
data\apple\1f1fc-1f1f8.png,apple
data\apple\1f1fd-1f1f0.png,apple
data\apple\1f1fe-1f1ea.png,apple
data\apple\1f1fe-1f1f9.png,apple
data\apple\1f1ff-1f1e6.png,apple
data\apple\1f1ff-1f1f2.png,apple
data\apple\1f1ff-1f1fc.png,apple
data\apple\1f201.png,apple
data\apple\1f202-fe0f.png,apple
data\apple\1f21a.png,apple
data\apple\1f22f.png,apple
data\apple\1f232.png,apple
data\apple\1f233.png,apple
data\apple\1f234.png,apple
data\apple\1f235.png,apple
data\apple\1f236.png,apple
data\apple\1f237-fe0f.png,apple
data\apple\1f238.png,apple
data\apple\1f239.png,apple
data\apple\1f23a.png,apple
data\apple\1f250.png,apple
data\apple\1f251.png,apple
data\apple\1f300.png,apple
data\apple\1f301.png,apple
data\apple\1f302.png,apple
data\apple\1f303.png,apple
data\apple\1f304.png,apple
data\apple\1f305.png,apple
data\apple\1f306.png,apple
data\apple\1f307.png,apple
data\apple\1f308.png,apple
data\apple\1f309.png,apple
data\apple\1f30a.png,apple
data\apple\1f30b.png,apple
data\apple\1f30c.png,apple
data\apple\1f30d.png,apple
data\apple\1f30e.png,apple
data\apple\1f30f.png,apple
data\apple\1f310.png,apple
data\apple\1f311.png,apple
data\apple\1f312.png,apple
data\apple\1f313.png,apple
data\apple\1f314.png,apple
data\apple\1f315.png,apple
data\apple\1f316.png,apple
data\apple\1f317.png,apple
data\apple\1f318.png,apple
data\apple\1f319.png,apple
data\apple\1f31a.png,apple
data\apple\1f31b.png,apple
data\apple\1f31c.png,apple
data\apple\1f31d.png,apple
data\apple\1f31e.png,apple
data\apple\1f31f.png,apple
data\apple\1f320.png,apple
data\apple\1f321-fe0f.png,apple
data\apple\1f324-fe0f.png,apple
data\apple\1f325-fe0f.png,apple
data\apple\1f326-fe0f.png,apple
data\apple\1f327-fe0f.png,apple
data\apple\1f328-fe0f.png,apple
data\apple\1f329-fe0f.png,apple
data\apple\1f32a-fe0f.png,apple
data\apple\1f32b-fe0f.png,apple
data\apple\1f32c-fe0f.png,apple
data\apple\1f32d.png,apple
data\apple\1f32e.png,apple
data\apple\1f32f.png,apple
data\apple\1f330.png,apple
data\apple\1f331.png,apple
data\apple\1f332.png,apple
data\apple\1f333.png,apple
data\apple\1f334.png,apple
data\apple\1f335.png,apple
data\apple\1f336-fe0f.png,apple
data\apple\1f337.png,apple
data\apple\1f338.png,apple
data\apple\1f339.png,apple
data\apple\1f33a.png,apple
data\apple\1f33b.png,apple
data\apple\1f33c.png,apple
data\apple\1f33d.png,apple
data\apple\1f33e.png,apple
data\apple\1f33f.png,apple
data\apple\1f340.png,apple
data\apple\1f341.png,apple
data\apple\1f342.png,apple
data\apple\1f343.png,apple
data\apple\1f344-200d-1f7eb.png,apple
data\apple\1f344.png,apple
data\apple\1f345.png,apple
data\apple\1f346.png,apple
data\apple\1f347.png,apple
data\apple\1f348.png,apple
data\apple\1f349.png,apple
data\apple\1f34a.png,apple
data\apple\1f34b-200d-1f7e9.png,apple
data\apple\1f34b.png,apple
data\apple\1f34c.png,apple
data\apple\1f34d.png,apple
data\apple\1f34e.png,apple
data\apple\1f34f.png,apple
data\apple\1f350.png,apple
data\apple\1f351.png,apple
data\apple\1f352.png,apple
data\apple\1f353.png,apple
data\apple\1f354.png,apple
data\apple\1f355.png,apple
data\apple\1f356.png,apple
data\apple\1f357.png,apple
data\apple\1f358.png,apple
data\apple\1f359.png,apple
data\apple\1f35a.png,apple
data\apple\1f35b.png,apple
data\apple\1f35c.png,apple
data\apple\1f35d.png,apple
data\apple\1f35e.png,apple
data\apple\1f35f.png,apple
data\apple\1f360.png,apple
data\apple\1f361.png,apple
data\apple\1f362.png,apple
data\apple\1f363.png,apple
data\apple\1f364.png,apple
data\apple\1f365.png,apple
data\apple\1f366.png,apple
data\apple\1f367.png,apple
data\apple\1f368.png,apple
data\apple\1f369.png,apple
data\apple\1f36a.png,apple
data\apple\1f36b.png,apple
data\apple\1f36c.png,apple
data\apple\1f36d.png,apple
data\apple\1f36e.png,apple
data\apple\1f36f.png,apple
data\apple\1f370.png,apple
data\apple\1f371.png,apple
data\apple\1f372.png,apple
data\apple\1f373.png,apple
data\apple\1f374.png,apple
data\apple\1f375.png,apple
data\apple\1f376.png,apple
data\apple\1f377.png,apple
data\apple\1f378.png,apple
data\apple\1f379.png,apple
data\apple\1f37a.png,apple
data\apple\1f37b.png,apple
data\apple\1f37c.png,apple
data\apple\1f37d-fe0f.png,apple
data\apple\1f37e.png,apple
data\apple\1f37f.png,apple
data\apple\1f380.png,apple
data\apple\1f381.png,apple
data\apple\1f382.png,apple
data\apple\1f383.png,apple
data\apple\1f384.png,apple
data\apple\1f385-1f3fb.png,apple
data\apple\1f385-1f3fc.png,apple
data\apple\1f385-1f3fd.png,apple
data\apple\1f385-1f3fe.png,apple
data\apple\1f385-1f3ff.png,apple
data\apple\1f385.png,apple
data\apple\1f386.png,apple
data\apple\1f387.png,apple
data\apple\1f388.png,apple
data\apple\1f389.png,apple
data\apple\1f38a.png,apple
data\apple\1f38b.png,apple
data\apple\1f38c.png,apple
data\apple\1f38d.png,apple
data\apple\1f38e.png,apple
data\apple\1f38f.png,apple
data\apple\1f390.png,apple
data\apple\1f391.png,apple
data\apple\1f392.png,apple
data\apple\1f393.png,apple
data\apple\1f396-fe0f.png,apple
data\apple\1f397-fe0f.png,apple
data\apple\1f399-fe0f.png,apple
data\apple\1f39a-fe0f.png,apple
data\apple\1f39b-fe0f.png,apple
data\apple\1f39e-fe0f.png,apple
data\apple\1f39f-fe0f.png,apple
data\apple\1f3a0.png,apple
data\apple\1f3a1.png,apple
data\apple\1f3a2.png,apple
data\apple\1f3a3.png,apple
data\apple\1f3a4.png,apple
data\apple\1f3a5.png,apple
data\apple\1f3a6.png,apple
data\apple\1f3a7.png,apple
data\apple\1f3a8.png,apple
data\apple\1f3a9.png,apple
data\apple\1f3aa.png,apple
data\apple\1f3ab.png,apple
data\apple\1f3ac.png,apple
data\apple\1f3ad.png,apple
data\apple\1f3ae.png,apple
data\apple\1f3af.png,apple
data\apple\1f3b0.png,apple
data\apple\1f3b1.png,apple
data\apple\1f3b2.png,apple
data\apple\1f3b3.png,apple
data\apple\1f3b4.png,apple
data\apple\1f3b5.png,apple
data\apple\1f3b6.png,apple
data\apple\1f3b7.png,apple
data\apple\1f3b8.png,apple
data\apple\1f3b9.png,apple
data\apple\1f3ba.png,apple
data\apple\1f3bb.png,apple
data\apple\1f3bc.png,apple
data\apple\1f3bd.png,apple
data\apple\1f3be.png,apple
data\apple\1f3bf.png,apple
data\apple\1f3c0.png,apple
data\apple\1f3c1.png,apple
data\apple\1f3c2-1f3fb.png,apple
data\apple\1f3c2-1f3fc.png,apple
data\apple\1f3c2-1f3fd.png,apple
data\apple\1f3c2-1f3fe.png,apple
data\apple\1f3c2-1f3ff.png,apple
data\apple\1f3c2.png,apple
data\apple\1f3c3-1f3fb-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fb-200d-2640-fe0f.png,apple
data\apple\1f3c3-1f3fb-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fb-200d-2642-fe0f.png,apple
data\apple\1f3c3-1f3fb-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fb.png,apple
data\apple\1f3c3-1f3fc-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fc-200d-2640-fe0f.png,apple
data\apple\1f3c3-1f3fc-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fc-200d-2642-fe0f.png,apple
data\apple\1f3c3-1f3fc-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fc.png,apple
data\apple\1f3c3-1f3fd-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fd-200d-2640-fe0f.png,apple
data\apple\1f3c3-1f3fd-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fd-200d-2642-fe0f.png,apple
data\apple\1f3c3-1f3fd-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fd.png,apple
data\apple\1f3c3-1f3fe-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fe-200d-2640-fe0f.png,apple
data\apple\1f3c3-1f3fe-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fe-200d-2642-fe0f.png,apple
data\apple\1f3c3-1f3fe-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3fe.png,apple
data\apple\1f3c3-1f3ff-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3ff-200d-2640-fe0f.png,apple
data\apple\1f3c3-1f3ff-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3ff-200d-2642-fe0f.png,apple
data\apple\1f3c3-1f3ff-200d-27a1-fe0f.png,apple
data\apple\1f3c3-1f3ff.png,apple
data\apple\1f3c3-200d-2640-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-200d-2640-fe0f.png,apple
data\apple\1f3c3-200d-2642-fe0f-200d-27a1-fe0f.png,apple
data\apple\1f3c3-200d-2642-fe0f.png,apple
data\apple\1f3c3-200d-27a1-fe0f.png,apple
data\apple\1f3c3.png,apple
data\apple\1f3c4-1f3fb-200d-2640-fe0f.png,apple
data\apple\1f3c4-1f3fb-200d-2642-fe0f.png,apple
data\apple\1f3c4-1f3fb.png,apple
data\apple\1f3c4-1f3fc-200d-2640-fe0f.png,apple
data\apple\1f3c4-1f3fc-200d-2642-fe0f.png,apple
data\apple\1f3c4-1f3fc.png,apple
data\apple\1f3c4-1f3fd-200d-2640-fe0f.png,apple
data\apple\1f3c4-1f3fd-200d-2642-fe0f.png,apple
data\apple\1f3c4-1f3fd.png,apple
data\apple\1f3c4-1f3fe-200d-2640-fe0f.png,apple
data\apple\1f3c4-1f3fe-200d-2642-fe0f.png,apple
data\apple\1f3c4-1f3fe.png,apple
data\apple\1f3c4-1f3ff-200d-2640-fe0f.png,apple
data\apple\1f3c4-1f3ff-200d-2642-fe0f.png,apple
data\apple\1f3c4-1f3ff.png,apple
data\apple\1f3c4-200d-2640-fe0f.png,apple
data\apple\1f3c4-200d-2642-fe0f.png,apple
data\apple\1f3c4.png,apple
data\apple\1f3c5.png,apple
data\apple\1f3c6.png,apple
data\apple\1f3c7-1f3fb.png,apple
data\apple\1f3c7-1f3fc.png,apple
data\apple\1f3c7-1f3fd.png,apple
data\apple\1f3c7-1f3fe.png,apple
data\apple\1f3c7-1f3ff.png,apple
data\apple\1f3c7.png,apple
data\apple\1f3c8.png,apple
data\apple\1f3c9.png,apple
data\apple\1f3ca-1f3fb-200d-2640-fe0f.png,apple
data\apple\1f3ca-1f3fb-200d-2642-fe0f.png,apple
data\apple\1f3ca-1f3fb.png,apple
data\apple\1f3ca-1f3fc-200d-2640-fe0f.png,apple
data\apple\1f3ca-1f3fc-200d-2642-fe0f.png,apple
data\apple\1f3ca-1f3fc.png,apple
data\apple\1f3ca-1f3fd-200d-2640-fe0f.png,apple
data\apple\1f3ca-1f3fd-200d-2642-fe0f.png,apple
data\apple\1f3ca-1f3fd.png,apple
data\apple\1f3ca-1f3fe-200d-2640-fe0f.png,apple
data\apple\1f3ca-1f3fe-200d-2642-fe0f.png,apple
data\apple\1f3ca-1f3fe.png,apple
data\apple\1f3ca-1f3ff-200d-2640-fe0f.png,apple
data\apple\1f3ca-1f3ff-200d-2642-fe0f.png,apple
data\apple\1f3ca-1f3ff.png,apple
data\apple\1f3ca-200d-2640-fe0f.png,apple
data\apple\1f3ca-200d-2642-fe0f.png,apple
data\apple\1f3ca.png,apple
data\apple\1f3cb-1f3fb-200d-2640-fe0f.png,apple
data\apple\1f3cb-1f3fb-200d-2642-fe0f.png,apple
data\apple\1f3cb-1f3fb.png,apple
data\apple\1f3cb-1f3fc-200d-2640-fe0f.png,apple
data\apple\1f3cb-1f3fc-200d-2642-fe0f.png,apple
data\apple\1f3cb-1f3fc.png,apple
data\apple\1f3cb-1f3fd-200d-2640-fe0f.png,apple
data\apple\1f3cb-1f3fd-200d-2642-fe0f.png,apple
data\apple\1f3cb-1f3fd.png,apple
data\apple\1f3cb-1f3fe-200d-2640-fe0f.png,apple
data\apple\1f3cb-1f3fe-200d-2642-fe0f.png,apple
data\apple\1f3cb-1f3fe.png,apple
data\apple\1f3cb-1f3ff-200d-2640-fe0f.png,apple
data\apple\1f3cb-1f3ff-200d-2642-fe0f.png,apple
data\apple\1f3cb-1f3ff.png,apple
data\apple\1f3cb-fe0f-200d-2640-fe0f.png,apple
data\apple\1f3cb-fe0f-200d-2642-fe0f.png,apple
data\apple\1f3cb-fe0f.png,apple
data\apple\1f3cc-1f3fb-200d-2640-fe0f.png,apple
data\apple\1f3cc-1f3fb-200d-2642-fe0f.png,apple
data\apple\1f3cc-1f3fb.png,apple
data\apple\1f3cc-1f3fc-200d-2640-fe0f.png,apple
data\apple\1f3cc-1f3fc-200d-2642-fe0f.png,apple
data\apple\1f3cc-1f3fc.png,apple
data\apple\1f3cc-1f3fd-200d-2640-fe0f.png,apple
data\apple\1f3cc-1f3fd-200d-2642-fe0f.png,apple
data\apple\1f3cc-1f3fd.png,apple
data\apple\1f3cc-1f3fe-200d-2640-fe0f.png,apple
data\apple\1f3cc-1f3fe-200d-2642-fe0f.png,apple
data\apple\1f3cc-1f3fe.png,apple
data\apple\1f3cc-1f3ff-200d-2640-fe0f.png,apple
data\apple\1f3cc-1f3ff-200d-2642-fe0f.png,apple
data\apple\1f3cc-1f3ff.png,apple
data\apple\1f3cc-fe0f-200d-2640-fe0f.png,apple
data\apple\1f3cc-fe0f-200d-2642-fe0f.png,apple
data\apple\1f3cc-fe0f.png,apple
data\apple\1f3cd-fe0f.png,apple
data\apple\1f3ce-fe0f.png,apple
data\apple\1f3cf.png,apple
data\apple\1f3d0.png,apple
data\apple\1f3d1.png,apple
data\apple\1f3d2.png,apple
data\apple\1f3d3.png,apple
data\apple\1f3d4-fe0f.png,apple
data\apple\1f3d5-fe0f.png,apple
data\apple\1f3d6-fe0f.png,apple
data\apple\1f3d7-fe0f.png,apple
data\apple\1f3d8-fe0f.png,apple
data\apple\1f3d9-fe0f.png,apple
data\apple\1f3da-fe0f.png,apple
data\apple\1f3db-fe0f.png,apple
data\apple\1f3dc-fe0f.png,apple
data\apple\1f3dd-fe0f.png,apple
data\apple\1f3de-fe0f.png,apple
data\apple\1f3df-fe0f.png,apple
data\apple\1f3e0.png,apple
data\apple\1f3e1.png,apple
data\apple\1f3e2.png,apple
data\apple\1f3e3.png,apple
data\apple\1f3e4.png,apple
data\apple\1f3e5.png,apple
data\apple\1f3e6.png,apple
data\apple\1f3e7.png,apple
data\apple\1f3e8.png,apple
data\apple\1f3e9.png,apple
data\apple\1f3ea.png,apple
data\apple\1f3eb.png,apple
data\apple\1f3ec.png,apple
data\apple\1f3ed.png,apple
data\apple\1f3ee.png,apple
data\apple\1f3ef.png,apple
data\apple\1f3f0.png,apple
data\apple\1f3f3-fe0f-200d-1f308.png,apple
data\apple\1f3f3-fe0f-200d-26a7-fe0f.png,apple
data\apple\1f3f3-fe0f.png,apple
data\apple\1f3f4-200d-2620-fe0f.png,apple
data\apple\1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.png,apple
data\apple\1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.png,apple
data\apple\1f3f4-e0067-e0062-e0077-e006c-e0073-e007f.png,apple
data\apple\1f3f4.png,apple
data\apple\1f3f5-fe0f.png,apple
